item,identifier,correct,response,timestamp,taker
example_1_TAO,RESPONSE,0,MA==,0.36770800 1459336118,test
example_1_TAO,RESPONSE_1,0,PD4=,0.36817100 1459336118,test
example_1_TAO,RESPONSE_3,0,NjgwMDAw,0.36859900 1459336118,test
example_2_Math,RESPONSE,0,PCdjaG9pY2VfMSc7ICdjaG9pY2VfMyc7ICdjaG9pY2VfMic+,0.11200400 1459336134,test
example_2_Math,RESPONSE_1,0,W10=,0.11272200 1459336134,test
Example_3_Baudelaire,RESPONSE,0,W2Nob2ljZV8zIGdhcF8xOyBjaG9pY2VfNCBnYXBfMl0=,0.35239500 1459336152,test
Example_4_Appearance,RESPONSE,0,W2Nob2ljZV8xIGNob2ljZV81OyBjaG9pY2VfMiBjaG9pY2VfODsgY2hvaWNlXzEgY2hvaWNlXzld,0.24622100 1459336165,test
Example_5_picasso,RESPONSE,0,Y2hvaWNlXzI=,0.31693500 1459336181,test
Example_5_picasso,RESPONSE_1,0,,0.31720700 1459336181,test
Example_5_picasso,RESPONSE_2,0,,0.31747200 1459336181,test
Example_5_picasso,RESPONSE_3,0,,0.31774900 1459336181,test
Example_6_Geography,RESPONSE,0,,0.22028500 1459336195,test
Example_7_Geo 2,RESPONSE,0,Wydob3RzcG90XzUnOyAnaG90c3BvdF80J10=,0.98814900 1459336205,test
Example_8_Geo 3,RESPONSE,0,W2Fzc29jaWFibGVob3RzcG90XzEgYXNzb2NpYWJsZWhvdHNwb3RfMjsgYXNzb2NpYWJsZWhvdHNwb3RfMiBhc3NvY2lhYmxlaG90c3BvdF8zXQ==,0.46244400 1459336227,test
